"Timestamp","What is your gender?","Which age range do you fall under?","What is your current marital status?","What is your highest level of education?","What is your current employment status?","Which of the following is your primary telecom service provider?","On which of the following social media platforms do you have an account?","Which three of these options do you consider to be the biggest (possible) challenges while receiving customer support from a telecom company","Which of these social media platforms would you consider to be the best channel for sending a complaint to a telecom company?","On a scale of 1 - 5, how comfortable are you texting a chatbot when trying to receive customer support?","On a scale of 1 to 5, how content or satisfied are you with the customer support offered by your primary telecom service provider (that you chose in the first section)? ","On a scale 1 to 5, rate the average customer support offered by businesses in Uganda based on your experiences so far (complaints or requests for help)?","How essential to you would each of these features be in a customer support (care) platform? [should be a website]","How essential to you would each of these features be in a customer support (care) platform? [should be a mobile application]","How essential to you would each of these features be in a customer support (care) platform? [support live text chats with agents]","How essential to you would each of these features be in a customer support (care) platform? [support video call and screen sharing]","How essential to you would each of these features be in a customer support (care) platform? [support local languages]","How essential to you would each of these features be in a customer support (care) platform? [support sending images to customer support agent]","How essential to you would each of these features be in a customer support (care) platform? [offer a searchable self-help solutions knowledge base ]","How essential to you would each of these features be in a customer support (care) platform? [provide recommended solutions]","How essential to you would each of these features be in a customer support (care) platform? [show status on progress of my support request]","How essential to you would each of these features be in a customer support (care) platform? [schedule customer support appointments for later]","How essential to you would each of these features be in a customer support (care) platform? [rate and review customer support agents]","How essential to you would each of these features be in a customer support (care) platform? [have a discussion forum with fellow customers]","Which of these factors is most important to you when contacting customer support (customer care)?","How necessary do you think a mobile/web application dedicated to creating and managing your customer support complaints with various businesses, companies, institutions and government entities is to you? "
"2022/08/18 9:12:35 pm GMT+3","Female","20 years - 35 years","Cohabiting","Undergraduate","Employed on a salary","AIRTEL","Email;WhatsApp;Facebook","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;No/low availability of customer support agents late in the night.","Facebook","2","3","3","essential","essential","not essential","not essential","very essential","not essential","I am not sure","very essential","very essential","not essential","very essential","not essential","How easy it is for me to have my issue sorted.","Very necessary"
"2022/08/18 9:18:43 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Student","MTN","Email;WhatsApp;Twitter","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;Connected to an agent with low technical knowledge needed to handle my issue.","Email","4","4","3","essential","essential","not essential","not essential","very essential","not essential","essential","essential","very essential","very essential","essential","very essential","How easy it is for me to have my issue sorted.","I am not sure"
"2022/08/18 9:25:29 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Employed on a salary","AIRTEL","WhatsApp","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;Connected to an agent with low technical knowledge needed to handle my issue.","Email","2","3","4","not essential","essential","very essential","not essential","very essential","essential","essential","very essential","essential","I am not sure","not essential","essential","How easy it is for me to have my issue sorted.","Very necessary"
"2022/08/18 9:29:08 pm GMT+3","Male","20 years - 35 years","Cohabiting","Undergraduate","Student","MTN","Email;WhatsApp;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;No/low availability of customer support agents over the weekends.","Twitter","3","4","4","not essential","essential","very essential","very essential","very essential","very essential","very essential","very essential","essential","essential","very essential","very essential","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 9:41:58 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Employed on a salary","MTN","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;No/low availability of customer support agents late in the night.","Twitter","3","3","3","essential","essential","very essential","not essential","essential","very essential","essential","essential","very essential","essential","very essential","not essential","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 9:43:57 pm GMT+3","Female","20 years - 35 years","Single","Undergraduate","Student","AIRTEL","Email;WhatsApp;Twitter;Facebook","No/late responses to my customer support complaints on social media.;No/low availability of customer support agents late in the night.","WhatsApp","3","1","3","very essential","very essential","very essential","very essential","very essential","essential","very essential","very essential","essential","essential","very essential","essential","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 9:45:49 pm GMT+3","Male","20 years - 35 years","Single","Secondary school","Self employed","AIRTEL","Email;WhatsApp;Facebook","Connected to an agent with low technical knowledge needed to handle my issue.;No/low availability of customer support agents late in the night.;No/low availability of customer support agents over the weekends.","WhatsApp","2","3","4","very essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","Ability to have my issue sorted on my own (without having to talk to an agent or someone)","Not necessary at all"
"2022/08/18 9:46:52 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Employed on a salary","MTN","Email;WhatsApp;Twitter;Facebook","Many steps have to be followed to talk to a customer care agent.;Connected to an agent with low technical knowledge needed to handle my issue.;No/low availability of customer support agents late in the night.","Email","3","3","3","essential","very essential","not essential","very essential","very essential","very essential","essential","very essential","not essential","very essential","very essential","very essential","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 9:47:18 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Self employed","AIRTEL","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;Connected to an agent with low technical knowledge needed to handle my issue.","Email","3","3","3","very essential","essential","essential","very essential","very essential","very essential","essential","very essential","very essential","very essential","very essential","essential","How easy it is for me to have my issue sorted.","Very necessary"
"2022/08/18 9:47:27 pm GMT+3","Female","20 years - 35 years","Single","Secondary school","Student","AIRTEL","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;No/low availability of customer support agents late in the night.;No/low availability of customer support agents over the weekends.","WhatsApp","1","3","3","not essential","not essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","Ability to have my issue sorted on my own (without having to talk to an agent or someone)","Very necessary"
"2022/08/18 9:54:47 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Student","MTN","Email;WhatsApp;Twitter;Telegram","Many steps have to be followed to talk to a customer care agent.;No/low availability of customer support agents late in the night.;No/low availability of customer support agents over the weekends.","Twitter","2","4","3","essential","not essential","very essential","essential","very essential","essential","essential","essential","essential","essential","essential","not essential","Speed at which my issue is sorted.","I am not sure"
"2022/08/18 10:02:34 pm GMT+3","Female","20 years - 35 years","Single","Post graduate and above","Volunteering ","AIRTEL","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;Connected to an agent with low technical knowledge needed to handle my issue.;No/low availability of customer support agents late in the night.","WhatsApp","3","3","3","not essential","very essential","essential","not essential","very essential","essential","essential","very essential","very essential","I am not sure","essential","I am not sure","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 10:08:55 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Employed on a salary","AIRTEL","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;No/low availability of customer support agents late in the night.","WhatsApp","3","3","3","not essential","essential","very essential","not essential","very essential","not essential","essential","very essential","very essential","essential","essential","essential","How easy it is for me to have my issue sorted.","I am not sure"
"2022/08/18 10:48:58 pm GMT+3","Female","20 years - 35 years","Single","Post graduate and above","Employed on a salary","MTN","WhatsApp","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;Connected to an agent with low technical knowledge needed to handle my issue.","WhatsApp","3","2","2","very essential","very essential","very essential","not essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","not essential","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 10:53:51 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Student","MTN","Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;Connected to an agent with low technical knowledge needed to handle my issue.","WhatsApp","3","5","3","not essential","very essential","very essential","not essential","essential","essential","essential","very essential","very essential","not essential","very essential","very essential","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 11:00:56 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Student","AIRTEL","Email;WhatsApp;Twitter;Facebook","Many steps have to be followed to talk to a customer care agent.;No/low availability of customer support agents late in the night.;No/low availability of customer support agents over the weekends.","Phone call ","3","5","2","very essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","essential","very essential","very essential","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 11:43:16 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Student","MTN","Email","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;No/low availability of customer support agents late in the night.","Twitter","3","3","3","very essential","very essential","very essential","essential","very essential","very essential","very essential","very essential","very essential","very essential","essential","very essential","How easy it is for me to have my issue sorted.","Very necessary"
"2022/08/18 11:48:40 pm GMT+3","Male","20 years - 35 years","Single","Secondary school","Student","MTN","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;Connected to an agent with low technical knowledge needed to handle my issue.","Twitter","5","4","4","not essential","very essential","very essential","not essential","very essential","very essential","very essential","very essential","very essential","very essential","I am not sure","I am not sure","Ability to have my issue sorted on my own (without having to talk to an agent or someone)","Very necessary"
